animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,4.3664959604666824e-4,605.47,0.25,224.22,0,raw,0.022215371622141315,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00818560546819644,607.983,0.5,223.78,0,raw,0.029964327494291086,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.02102268373658688,613.217,0.75,224.122,0,raw,0.04280140576268153,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.01020353539223412,608.557,1,223.585,0,raw,0.03198225741832877,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00330216257010271,606.635,1.25,224.293,0,raw,0.025080884596197357,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.01578236376480142,610.513,1.5,223.415,0,raw,0.037561085790896065,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.02188338726725567,613.252,1.75,223.829,0,raw,0.04366210929335032,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.03280487536068183,617.122,2,223.537,0,raw,0.054583597386776476,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.02106729337079851,612.6,2.25,223.488,0,raw,0.04284601539689316,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-4.345503191425282e-4,604.991,2.5,224.073,0,raw,0.02134417170695212,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00995162216374581,607.974,2.75,223.098,0,raw,0.031730344189840456,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00467718894226882,606.817,3,223.951,0,raw,0.02645591096836347,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00179593139143232,605.183,3.25,223.415,0,raw,0.02357465341752697,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.05386639571999412,584.922,3.5,224.366,0,raw,-0.03208767369389947,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.02295191921142762,595.8,3.75,223.463,0,raw,-0.001173197185332972,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.02156902055087114,595.791,4,222.927,0,raw,2.0970147522350602e-4,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.03984585009693423,591.704,4.25,225.805,0,raw,-0.01806712807083958,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.01079448184072986,600.409,4.5,223.439,0,raw,0.010984240185364787,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00737213566786915,607.722,4.75,223.829,0,raw,0.0291508576939638,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.00902321695292058,601.035,5,223.39,0,raw,0.012755505073174068,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.02500396238515654,595.896,5.25,224.341,0,raw,-0.003225240359061892,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.03296809413997351,592.374,5.5,223.854,0,raw,-0.01118937211387886,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.03177937859304371,592.583,5.75,223.61,0,raw,-0.01000065656694906,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.04319157266279621,588.965,6,224.341,0,raw,-0.021412850636701564,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.05611787019960947,584.113,6.25,224.415,0,raw,-0.03433914817351482,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.05174612604688304,585.73,6.5,224.366,0,raw,-0.029967404020788395,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.04365866177395201,589.348,6.75,224.902,0,raw,-0.02187993974785736,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.04083775843410731,590.009,7,224.488,0,raw,-0.01905903640801266,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.03534814932996312,592.052,7.25,224.439,0,raw,-0.013569427303868474,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.01637593430942704,598.965,7.5,224.122,0,raw,0.005402787716667606,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.01103012567321198,609.043,7.75,223.756,0,raw,0.03280884769930663,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00879964396263712,608.852,8,224.415,0,raw,0.030578365988731766,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00209245425413226,605.783,8.25,223.902,0,raw,0.02387117628022691,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00280358430538585,607.713,8.5,225.561,0,raw,0.024582306331480498,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.01099076423126039,609.809,8.75,224.537,0,raw,0.03276948625735504,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,4.261532115264154e-4,605.417,9,224.171,0,raw,0.022204875237621064,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.001045439898227,606.409,9.25,224.927,0,raw,0.022824161924321646,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.00279886093235168,603.383,9.5,223.366,0,raw,0.01897986109374297,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.00766655925366495,601.113,9.75,222.951,0,raw,0.014112162772429698,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.02474155277214768,595.704,10,224.049,0,raw,-0.0029628307460530315,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.04084300662636751,590.104,10.25,224.585,0,raw,-0.01906428460027286,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.0482455818093455,587.113,10.5,224.415,0,raw,-0.026466859783250855,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.05384277885482343,585.443,10.75,224.878,0,raw,-0.03206405682872878,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.06753793655775264,580.322,11,224.976,0,raw,-0.045759214531657995,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.04908791666710382,586.426,11.25,224.049,0,raw,-0.02730919464100917,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.04906692389806331,587.409,11.5,225.024,0,raw,-0.027288201871968662,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.05536475461027443,584.009,11.75,224.024,0,raw,-0.03358603258417978,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.0556481569923238,585.243,12,225.366,0,raw,-0.03386943496622915,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.04038378980360193,590.157,12.25,224.463,0,raw,-0.018605067777507284,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.02676210679231538,595.226,12.5,224.341,0,raw,-0.004983384766220733,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.02175533137610745,597.452,12.75,224.659,0,raw,2.3390649987197615e-5,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.02819486327934325,595.339,13,225,0,raw,-0.006416141253248603,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.0755781671003423,576.087,13.25,223.805,0,raw,-0.05379944507424766,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.05661907256045636,584.922,13.5,225.415,0,raw,-0.034840350534361714,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.02180781329870917,596.139,13.75,223.366,0,raw,-2.9091272614523156e-5,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.00479317399121853,603.696,14,224.439,0,raw,0.01698554803487612,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00126848806928458,605.835,14.25,224.268,0,raw,0.023047210095379227,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.01221884122014177,609.496,14.5,223.756,0,raw,0.033997563246236415,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00328116980106191,606.261,14.75,223.927,0,raw,0.02505989182715656,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00660065140562318,608.843,15,225.244,0,raw,0.028379373431717828,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.00771379298400661,601.583,15.25,223.439,0,raw,0.014064929042088038,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00955800774423252,608.287,15.5,223.561,0,raw,0.03133672977032717,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.00683472078042719,602.991,15.75,224.512,0,raw,0.014944001245667457,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.01769847875899159,599.583,16,225.244,0,raw,0.004080243267103059,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.02057973630982809,598.461,16.25,225.22,0,raw,0.0011989857162665561,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.03711154192938232,592.6,16.5,225.659,0,raw,-0.015332819903287671,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.03771245994317258,591.322,16.75,224.61,0,raw,-0.01593373791707793,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.02226703012147474,596.939,17,224.341,0,raw,-4.883080953800925e-4,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.01282815634154814,600,17.25,223.805,0,raw,0.008950565684546507,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.0550131257288426,583.339,17.5,223.22,0,raw,-0.03323440370274795,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.03718501662102468,590.791,17.75,223.878,0,raw,-0.01540629459493003,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00819347775658666,607.304,18,223.098,0,raw,0.029972199782681307,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.01268855442742745,610.626,18.25,224.707,0,raw,0.0344672764535221,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.00970810604287346,601.53,18.5,224.146,0,raw,0.012070615983221188,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.01569891750786439,599.174,18.75,224.073,0,raw,0.0060798045182302585,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.00853513507272412,601.27,19,223.439,0,raw,0.013243586953370528,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.03169750679378493,618.626,19.25,225.463,0,raw,0.053476228819879575,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00917488970923978,608.043,19.5,223.463,0,raw,0.030953611735334428,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.02304323775675458,613.67,19.75,223.805,0,raw,0.044821959782849224,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.02009900189879612,614.426,20,225.683,0,raw,0.04187772392489077,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.00211134774626878,604.913,20.25,224.634,0,raw,0.01966737427982587,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.01372559721803834,600.487,20.5,224.634,0,raw,0.008053124808056308,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.02785583005933612,616.504,20.75,224.805,0,raw,0.04963455208543077,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.0219935993047193,615.026,21,225.561,0,raw,0.04377232133081395,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.01035835706390922,610.348,21.25,225.317,0,raw,0.032137079090003864,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.01437322414294408,610.878,21.5,224.317,0,raw,0.03615194616903873,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,0.00792844404744793,608.861,21.75,224.756,0,raw,0.02970716607354258,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.02948067038308669,594.8,22,224.951,0,raw,-0.007701948356992044,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.05743516645691397,584.391,22.25,225.195,0,raw,-0.03565644443081932,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.06775311244042,579.435,22.5,224.171,0,raw,-0.04597439041432535,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.06857707862526738,580.096,22.75,225.146,0,raw,-0.04679835659917273,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.05746140741821468,584.235,23,225.049,0,raw,-0.03568268539212003,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.06365952247748273,582.409,23.25,225.585,0,raw,-0.04188080045138808,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.05395036679615703,585.939,23.5,225.415,0,raw,-0.03217164477006238,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.05553007266647009,584.8,23.75,224.878,0,raw,-0.03375135064037544,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.05983359031981436,583.087,24,224.805,0,raw,-0.038054868293719714,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
20220122_AWC_WT_HEX_1K/20220122_AWC_WT_HEX_1K__1/20220122_AWC_WT_HEX_1K__1_ImageJ_data.csv,1,-0.06745921367385008,580.035,24.25,224.659,0,raw,-0.04568049164775543,HEX10 - 3,HEX10 - 3,OP50,AWC,-0.021778722026094648
