ypos,lum_bin,worm,time,y_mm
55,buffer,1,82,1.0108447488584487
55,buffer,1,611,1.0108447488584487
55,buffer,1,1494,1.0108447488584487
55,buffer,1,1495,1.0108447488584487
55,buffer,1,2000,1.0108447488584487
55,buffer,1,2003,1.0108447488584487
55,buffer,1,2004,1.0108447488584487
55,buffer,1,2005,1.0108447488584487
55,buffer,1,2006,1.0108447488584487
55,buffer,1,2007,1.0108447488584487
55,buffer,1,2009,1.0108447488584487
55,buffer,3,608,1.0108447488584487
55,buffer,3,627,1.0108447488584487
55,buffer,3,816,1.0108447488584487
55,buffer,4,1093,1.0108447488584487
55,buffer,4,1279,1.0108447488584487
55,buffer,4,2198,1.0108447488584487
55,buffer,6,191,1.0108447488584487
55,buffer,8,77,1.0108447488584487
55,buffer,8,78,1.0108447488584487
55,buffer,8,79,1.0108447488584487
55,buffer,10,369,1.0108447488584487
55,buffer,10,495,1.0108447488584487
55,buffer,10,1012,1.0108447488584487
55,buffer,11,1365,1.0108447488584487
55,buffer,13,1719,1.0108447488584487
55,buffer,14,294,1.0108447488584487
55,buffer,14,552,1.0108447488584487
55,buffer,14,1172,1.0108447488584487
55,buffer,14,1179,1.0108447488584487
55,buffer,14,1180,1.0108447488584487
55,buffer,14,1526,1.0108447488584487
55,buffer,14,1530,1.0108447488584487
55,buffer,14,1551,1.0108447488584487
55,buffer,15,1828,1.0108447488584487
55,buffer,19,1335,1.0108447488584487
55,buffer,19,1343,1.0108447488584487
55,buffer,19,1448,1.0108447488584487
55,buffer,19,1784,1.0108447488584487
55,buffer,19,1845,1.0108447488584487
55,buffer,21,150,1.0108447488584487
55,buffer,21,151,1.0108447488584487
55,buffer,21,175,1.0108447488584487
55,buffer,21,316,1.0108447488584487
55,buffer,21,318,1.0108447488584487
55,buffer,21,450,1.0108447488584487
55,buffer,21,1212,1.0108447488584487
55,buffer,21,1213,1.0108447488584487
55,buffer,21,1214,1.0108447488584487
55,buffer,21,1217,1.0108447488584487
55,buffer,21,1617,1.0108447488584487
55,buffer,21,1644,1.0108447488584487
55,buffer,21,1771,1.0108447488584487
55,buffer,22,1298,1.0108447488584487
55,buffer,24,53,1.0108447488584487
55,buffer,24,494,1.0108447488584487
55,buffer,24,975,1.0108447488584487
55,buffer,26,150,1.0108447488584487
55,buffer,27,224,1.0108447488584487
55,buffer,27,233,1.0108447488584487
55,buffer,28,593,1.0108447488584487
55,buffer,29,1974,1.0108447488584487
55,buffer,29,1976,1.0108447488584487
55,buffer,30,725,1.0108447488584487
55,buffer,30,1204,1.0108447488584487
55,buffer,30,1726,1.0108447488584487
55,buffer,30,1971,1.0108447488584487
55,buffer,30,1972,1.0108447488584487
55,buffer,31,395,1.0108447488584487
55,buffer,31,742,1.0108447488584487
55,buffer,31,2178,1.0108447488584487
55,buffer,31,2198,1.0108447488584487
55,buffer,32,269,1.0108447488584487
55,buffer,32,276,1.0108447488584487
56,buffer,1,195,1.0292237442922385
56,buffer,1,857,1.0292237442922385
56,buffer,1,1071,1.0292237442922385
56,buffer,1,1396,1.0292237442922385
56,buffer,1,2001,1.0292237442922385
56,buffer,1,2002,1.0292237442922385
56,buffer,1,2008,1.0292237442922385
56,buffer,1,2336,1.0292237442922385
56,buffer,3,628,1.0292237442922385
56,buffer,3,818,1.0292237442922385
56,buffer,3,820,1.0292237442922385
56,buffer,4,517,1.0292237442922385
56,buffer,4,1532,1.0292237442922385
56,buffer,4,1837,1.0292237442922385
56,buffer,4,2199,1.0292237442922385
56,buffer,4,2200,1.0292237442922385
56,buffer,6,189,1.0292237442922385
56,buffer,7,1307,1.0292237442922385
56,buffer,7,1308,1.0292237442922385
56,buffer,7,1310,1.0292237442922385
56,buffer,8,383,1.0292237442922385
56,buffer,10,494,1.0292237442922385
56,buffer,10,609,1.0292237442922385
56,buffer,10,610,1.0292237442922385
56,buffer,10,618,1.0292237442922385
56,buffer,10,1015,1.0292237442922385
56,buffer,10,1188,1.0292237442922385
56,buffer,10,1190,1.0292237442922385
56,buffer,12,2105,1.0292237442922385
56,buffer,14,643,1.0292237442922385
56,buffer,14,760,1.0292237442922385
56,buffer,14,1181,1.0292237442922385
56,buffer,15,1809,1.0292237442922385
56,buffer,15,1827,1.0292237442922385
56,buffer,15,1841,1.0292237442922385
56,buffer,15,2017,1.0292237442922385
56,buffer,15,2136,1.0292237442922385
56,buffer,16,904,1.0292237442922385
56,buffer,16,2381,1.0292237442922385
56,buffer,19,558,1.0292237442922385
56,buffer,21,149,1.0292237442922385
56,buffer,21,176,1.0292237442922385
56,buffer,21,1224,1.0292237442922385
56,buffer,24,57,1.0292237442922385
56,buffer,24,199,1.0292237442922385
56,buffer,26,872,1.0292237442922385
56,buffer,26,1915,1.0292237442922385
56,buffer,27,223,1.0292237442922385
56,buffer,28,838,1.0292237442922385
56,buffer,30,1969,1.0292237442922385
56,buffer,30,1970,1.0292237442922385
56,buffer,30,1973,1.0292237442922385
56,buffer,30,1974,1.0292237442922385
56,buffer,30,1975,1.0292237442922385
56,buffer,30,1976,1.0292237442922385
56,buffer,31,385,1.0292237442922385
56,buffer,31,2177,1.0292237442922385
56,buffer,31,2273,1.0292237442922385
56,buffer,32,275,1.0292237442922385
56,buffer,32,2168,1.0292237442922385
56,buffer,32,2209,1.0292237442922385
57,buffer,1,76,1.0476027397260286
57,buffer,1,191,1.0476027397260286
57,buffer,1,775,1.0476027397260286
57,buffer,1,1167,1.0476027397260286
57,buffer,1,1710,1.0476027397260286
57,buffer,1,2045,1.0476027397260286
57,buffer,1,2191,1.0476027397260286
57,buffer,3,787,1.0476027397260286
57,buffer,4,398,1.0476027397260286
57,buffer,4,671,1.0476027397260286
57,buffer,4,1094,1.0476027397260286
57,buffer,4,1564,1.0476027397260286
57,buffer,4,1587,1.0476027397260286
57,buffer,4,1832,1.0476027397260286
57,buffer,4,1833,1.0476027397260286
57,buffer,4,1834,1.0476027397260286
57,buffer,4,2357,1.0476027397260286
57,buffer,6,51,1.0476027397260286
57,buffer,7,646,1.0476027397260286
57,buffer,7,1309,1.0476027397260286
57,buffer,10,220,1.0476027397260286
57,buffer,10,222,1.0476027397260286
57,buffer,10,350,1.0476027397260286
57,buffer,10,371,1.0476027397260286
57,buffer,10,617,1.0476027397260286
57,buffer,10,619,1.0476027397260286
57,buffer,10,620,1.0476027397260286
57,buffer,10,621,1.0476027397260286
57,buffer,10,1191,1.0476027397260286
57,buffer,10,1750,1.0476027397260286
57,buffer,11,1210,1.0476027397260286
57,buffer,14,1182,1.0476027397260286
57,buffer,14,1185,1.0476027397260286
57,buffer,14,1186,1.0476027397260286
57,buffer,14,1187,1.0476027397260286
57,buffer,14,1547,1.0476027397260286
57,buffer,15,1151,1.0476027397260286
57,buffer,15,1825,1.0476027397260286
57,buffer,15,1859,1.0476027397260286
57,buffer,15,1860,1.0476027397260286
57,buffer,15,2138,1.0476027397260286
57,buffer,15,2139,1.0476027397260286
57,buffer,16,424,1.0476027397260286
57,buffer,16,902,1.0476027397260286
57,buffer,19,569,1.0476027397260286
57,buffer,19,1341,1.0476027397260286
57,buffer,19,1785,1.0476027397260286
57,buffer,19,1786,1.0476027397260286
57,buffer,21,77,1.0476027397260286
57,buffer,21,143,1.0476027397260286
57,buffer,21,144,1.0476027397260286
57,buffer,21,146,1.0476027397260286
57,buffer,21,147,1.0476027397260286
57,buffer,21,148,1.0476027397260286
57,buffer,21,1225,1.0476027397260286
57,buffer,21,1643,1.0476027397260286
57,buffer,25,474,1.0476027397260286
57,buffer,25,1569,1.0476027397260286
57,buffer,26,151,1.0476027397260286
57,buffer,26,2330,1.0476027397260286
57,buffer,27,222,1.0476027397260286
57,buffer,28,594,1.0476027397260286
57,buffer,30,544,1.0476027397260286
57,buffer,30,545,1.0476027397260286
57,buffer,30,637,1.0476027397260286
57,buffer,30,1205,1.0476027397260286
57,buffer,30,1967,1.0476027397260286
57,buffer,30,1968,1.0476027397260286
57,buffer,31,384,1.0476027397260286
57,buffer,31,387,1.0476027397260286
57,buffer,31,2176,1.0476027397260286
58,buffer,1,610,1.0659817351598184
58,buffer,1,1240,1.0659817351598184
58,buffer,1,1496,1.0659817351598184
58,buffer,1,2334,1.0659817351598184
58,buffer,3,2070,1.0659817351598184
58,buffer,4,212,1.0659817351598184
58,buffer,4,372,1.0659817351598184
58,buffer,4,661,1.0659817351598184
58,buffer,7,821,1.0659817351598184
58,buffer,8,76,1.0659817351598184
58,buffer,10,363,1.0659817351598184
58,buffer,10,370,1.0659817351598184
58,buffer,10,607,1.0659817351598184
58,buffer,10,616,1.0659817351598184
58,buffer,10,1011,1.0659817351598184
58,buffer,10,1608,1.0659817351598184
58,buffer,10,1764,1.0659817351598184
58,buffer,11,1020,1.0659817351598184
58,buffer,12,183,1.0659817351598184
58,buffer,13,1714,1.0659817351598184
58,buffer,13,1715,1.0659817351598184
58,buffer,14,242,1.0659817351598184
58,buffer,14,1183,1.0659817351598184
58,buffer,14,1184,1.0659817351598184
58,buffer,14,1541,1.0659817351598184
58,buffer,14,1548,1.0659817351598184
58,buffer,15,1152,1.0659817351598184
58,buffer,15,1834,1.0659817351598184
58,buffer,15,1840,1.0659817351598184
58,buffer,15,1861,1.0659817351598184
58,buffer,15,2137,1.0659817351598184
58,buffer,15,2140,1.0659817351598184
58,buffer,16,905,1.0659817351598184
58,buffer,16,1131,1.0659817351598184
58,buffer,17,2085,1.0659817351598184
58,buffer,19,566,1.0659817351598184
58,buffer,19,1828,1.0659817351598184
58,buffer,21,73,1.0659817351598184
58,buffer,21,76,1.0659817351598184
58,buffer,21,78,1.0659817351598184
58,buffer,21,142,1.0659817351598184
58,buffer,21,145,1.0659817351598184
58,buffer,21,177,1.0659817351598184
58,buffer,21,178,1.0659817351598184
58,buffer,21,1616,1.0659817351598184
58,buffer,21,1619,1.0659817351598184
58,buffer,24,58,1.0659817351598184
58,buffer,24,1131,1.0659817351598184
58,buffer,24,1804,1.0659817351598184
58,buffer,25,1843,1.0659817351598184
58,buffer,26,868,1.0659817351598184
58,buffer,27,269,1.0659817351598184
58,buffer,29,2148,1.0659817351598184
58,buffer,30,1206,1.0659817351598184
58,buffer,30,1956,1.0659817351598184
58,buffer,30,1966,1.0659817351598184
58,buffer,31,394,1.0659817351598184
58,buffer,32,1628,1.0659817351598184
58,buffer,32,2162,1.0659817351598184
58,buffer,32,2344,1.0659817351598184
58,buffer,32,2345,1.0659817351598184
58,buffer,32,2346,1.0659817351598184
59,buffer,1,1040,1.0843607305936085
59,buffer,1,1072,1.0843607305936085
59,buffer,1,1888,1.0843607305936085
59,buffer,3,813,1.0843607305936085
59,buffer,3,819,1.0843607305936085
59,buffer,4,663,1.0843607305936085
59,buffer,4,672,1.0843607305936085
59,buffer,4,2197,1.0843607305936085
59,buffer,7,647,1.0843607305936085
59,buffer,7,815,1.0843607305936085
59,buffer,7,816,1.0843607305936085
59,buffer,7,817,1.0843607305936085
59,buffer,7,818,1.0843607305936085
59,buffer,7,820,1.0843607305936085
59,buffer,7,822,1.0843607305936085
59,buffer,7,824,1.0843607305936085
59,buffer,7,825,1.0843607305936085
59,buffer,7,827,1.0843607305936085
59,buffer,7,828,1.0843607305936085
59,buffer,10,612,1.0843607305936085
59,buffer,10,615,1.0843607305936085
59,buffer,10,622,1.0843607305936085
59,buffer,10,1100,1.0843607305936085
59,buffer,10,1192,1.0843607305936085
59,buffer,11,1361,1.0843607305936085
59,buffer,12,2106,1.0843607305936085
59,buffer,12,2207,1.0843607305936085
59,buffer,13,1711,1.0843607305936085
59,buffer,13,1717,1.0843607305936085
59,buffer,14,644,1.0843607305936085
59,buffer,14,1524,1.0843607305936085
59,buffer,14,1534,1.0843607305936085
59,buffer,14,1540,1.0843607305936085
59,buffer,15,1835,1.0843607305936085
59,buffer,15,1836,1.0843607305936085
59,buffer,15,1837,1.0843607305936085
59,buffer,15,2141,1.0843607305936085
59,buffer,15,2192,1.0843607305936085
59,buffer,15,2197,1.0843607305936085
59,buffer,16,117,1.0843607305936085
59,buffer,19,1336,1.0843607305936085
59,buffer,19,1787,1.0843607305936085
59,buffer,19,1831,1.0843607305936085
59,buffer,21,137,1.0843607305936085
59,buffer,21,141,1.0843607305936085
59,buffer,21,179,1.0843607305936085
59,buffer,21,1613,1.0843607305936085
59,buffer,22,1968,1.0843607305936085
59,buffer,24,59,1.0843607305936085
59,buffer,24,189,1.0843607305936085
59,buffer,24,1132,1.0843607305936085
59,buffer,26,152,1.0843607305936085
59,buffer,29,2147,1.0843607305936085
59,buffer,29,2149,1.0843607305936085
59,buffer,29,2165,1.0843607305936085
59,buffer,30,726,1.0843607305936085
59,buffer,30,1672,1.0843607305936085
59,buffer,30,1725,1.0843607305936085
59,buffer,30,1965,1.0843607305936085
59,buffer,31,389,1.0843607305936085
59,buffer,31,2169,1.0843607305936085
59,buffer,31,2174,1.0843607305936085
59,buffer,31,2179,1.0843607305936085
60,buffer,1,1041,1.1027397260273986
60,buffer,1,2046,1.1027397260273986
60,buffer,1,2335,1.1027397260273986
60,buffer,3,788,1.1027397260273986
60,buffer,3,790,1.1027397260273986
60,buffer,3,815,1.1027397260273986
60,buffer,4,130,1.1027397260273986
60,buffer,4,516,1.1027397260273986
60,buffer,4,656,1.1027397260273986
60,buffer,4,1556,1.1027397260273986
60,buffer,4,1831,1.1027397260273986
60,buffer,6,285,1.1027397260273986
60,buffer,7,814,1.1027397260273986
60,buffer,7,819,1.1027397260273986
60,buffer,7,823,1.1027397260273986
60,buffer,7,826,1.1027397260273986
60,buffer,7,830,1.1027397260273986
60,buffer,7,831,1.1027397260273986
60,buffer,7,834,1.1027397260273986
60,buffer,8,340,1.1027397260273986
60,buffer,10,351,1.1027397260273986
60,buffer,10,608,1.1027397260273986
60,buffer,10,611,1.1027397260273986
60,buffer,10,1010,1.1027397260273986
60,buffer,10,1194,1.1027397260273986
60,buffer,11,1364,1.1027397260273986
60,buffer,14,295,1.1027397260273986
60,buffer,14,759,1.1027397260273986
60,buffer,14,1522,1.1027397260273986
60,buffer,14,1535,1.1027397260273986
60,buffer,14,1537,1.1027397260273986
60,buffer,14,1538,1.1027397260273986
60,buffer,14,1539,1.1027397260273986
60,buffer,14,1550,1.1027397260273986
60,buffer,14,1603,1.1027397260273986
60,buffer,15,547,1.1027397260273986
60,buffer,15,1833,1.1027397260273986
60,buffer,15,1838,1.1027397260273986
60,buffer,16,1067,1.1027397260273986
60,buffer,16,1169,1.1027397260273986
60,buffer,19,1334,1.1027397260273986
60,buffer,19,1788,1.1027397260273986
60,buffer,19,1814,1.1027397260273986
60,buffer,19,1826,1.1027397260273986
60,buffer,19,1827,1.1027397260273986
60,buffer,21,79,1.1027397260273986
60,buffer,21,81,1.1027397260273986
60,buffer,21,133,1.1027397260273986
60,buffer,21,134,1.1027397260273986
60,buffer,21,138,1.1027397260273986
60,buffer,21,180,1.1027397260273986
60,buffer,21,186,1.1027397260273986
60,buffer,21,1066,1.1027397260273986
60,buffer,21,1299,1.1027397260273986
60,buffer,21,1300,1.1027397260273986
60,buffer,21,1303,1.1027397260273986
60,buffer,21,1305,1.1027397260273986
60,buffer,21,1307,1.1027397260273986
60,buffer,21,1310,1.1027397260273986
60,buffer,21,1311,1.1027397260273986
60,buffer,21,1638,1.1027397260273986
60,buffer,23,1976,1.1027397260273986
60,buffer,24,974,1.1027397260273986
60,buffer,24,1133,1.1027397260273986
60,buffer,24,1136,1.1027397260273986
60,buffer,25,473,1.1027397260273986
60,buffer,26,154,1.1027397260273986
60,buffer,26,1916,1.1027397260273986
60,buffer,27,221,1.1027397260273986
60,buffer,30,636,1.1027397260273986
60,buffer,30,1181,1.1027397260273986
60,buffer,30,1207,1.1027397260273986
60,buffer,30,1963,1.1027397260273986
60,buffer,30,1964,1.1027397260273986
60,buffer,30,2088,1.1027397260273986
60,buffer,30,2089,1.1027397260273986
60,buffer,31,386,1.1027397260273986
60,buffer,31,1792,1.1027397260273986
60,buffer,31,1888,1.1027397260273986
60,buffer,31,2173,1.1027397260273986
60,buffer,31,2175,1.1027397260273986
60,buffer,32,2210,1.1027397260273986
60,buffer,32,2347,1.1027397260273986
60,buffer,32,2360,1.1027397260273986
61,buffer,1,609,1.1211187214611884
61,buffer,1,769,1.1211187214611884
61,buffer,3,607,1.1211187214611884
61,buffer,3,789,1.1211187214611884
61,buffer,3,814,1.1211187214611884
61,buffer,4,1095,1.1211187214611884
61,buffer,4,1276,1.1211187214611884
61,buffer,4,1533,1.1211187214611884
61,buffer,4,1588,1.1211187214611884
61,buffer,4,2358,1.1211187214611884
61,buffer,7,829,1.1211187214611884
61,buffer,7,832,1.1211187214611884
61,buffer,7,833,1.1211187214611884
61,buffer,7,835,1.1211187214611884
61,buffer,10,352,1.1211187214611884
61,buffer,10,613,1.1211187214611884
61,buffer,10,614,1.1211187214611884
61,buffer,10,623,1.1211187214611884
61,buffer,10,1187,1.1211187214611884
61,buffer,10,1193,1.1211187214611884
61,buffer,10,1195,1.1211187214611884
61,buffer,10,1382,1.1211187214611884
61,buffer,10,1749,1.1211187214611884
61,buffer,10,1765,1.1211187214611884
61,buffer,11,1362,1.1211187214611884
61,buffer,13,1718,1.1211187214611884
61,buffer,14,645,1.1211187214611884
61,buffer,14,1467,1.1211187214611884
61,buffer,14,1521,1.1211187214611884
61,buffer,14,1536,1.1211187214611884
61,buffer,15,1153,1.1211187214611884
61,buffer,15,1831,1.1211187214611884
61,buffer,15,1839,1.1211187214611884
61,buffer,15,2018,1.1211187214611884
61,buffer,15,2142,1.1211187214611884
61,buffer,15,2191,1.1211187214611884
61,buffer,15,2193,1.1211187214611884
61,buffer,16,422,1.1211187214611884
61,buffer,16,1066,1.1211187214611884
61,buffer,19,1273,1.1211187214611884
61,buffer,19,1340,1.1211187214611884
61,buffer,19,1342,1.1211187214611884
61,buffer,20,297,1.1211187214611884
61,buffer,20,298,1.1211187214611884
61,buffer,21,80,1.1211187214611884
61,buffer,21,132,1.1211187214611884
61,buffer,21,135,1.1211187214611884
61,buffer,21,140,1.1211187214611884
61,buffer,21,1291,1.1211187214611884
61,buffer,21,1294,1.1211187214611884
61,buffer,21,1295,1.1211187214611884
61,buffer,21,1296,1.1211187214611884
61,buffer,21,1297,1.1211187214611884
61,buffer,21,1301,1.1211187214611884
61,buffer,21,1302,1.1211187214611884
61,buffer,21,1304,1.1211187214611884
61,buffer,21,1306,1.1211187214611884
61,buffer,21,1309,1.1211187214611884
61,buffer,21,1312,1.1211187214611884
61,buffer,21,1313,1.1211187214611884
61,buffer,21,1437,1.1211187214611884
61,buffer,21,1614,1.1211187214611884
61,buffer,21,1620,1.1211187214611884
61,buffer,21,1637,1.1211187214611884
61,buffer,24,1134,1.1211187214611884
61,buffer,24,1240,1.1211187214611884
61,buffer,25,1844,1.1211187214611884
61,buffer,27,220,1.1211187214611884
61,buffer,28,130,1.1211187214611884
61,buffer,30,1962,1.1211187214611884
61,buffer,31,383,1.1211187214611884
61,buffer,31,388,1.1211187214611884
61,buffer,31,392,1.1211187214611884
61,buffer,31,393,1.1211187214611884
61,buffer,31,741,1.1211187214611884
61,buffer,31,2170,1.1211187214611884
61,buffer,31,2171,1.1211187214611884
61,buffer,31,2172,1.1211187214611884
61,buffer,31,2197,1.1211187214611884
61,buffer,32,2167,1.1211187214611884
61,buffer,32,2206,1.1211187214611884
61,buffer,32,2343,1.1211187214611884
61,buffer,32,2359,1.1211187214611884
62,buffer,1,855,1.1394977168949785
62,buffer,1,1073,1.1394977168949785
62,buffer,1,1397,1.1394977168949785
62,buffer,1,1580,1.1394977168949785
62,buffer,1,2047,1.1394977168949785
62,buffer,3,791,1.1394977168949785
62,buffer,4,662,1.1394977168949785
62,buffer,4,708,1.1394977168949785
62,buffer,4,1721,1.1394977168949785
62,buffer,4,2359,1.1394977168949785
62,buffer,6,52,1.1394977168949785
62,buffer,6,188,1.1394977168949785
62,buffer,7,648,1.1394977168949785
62,buffer,8,75,1.1394977168949785
62,buffer,10,353,1.1394977168949785
62,buffer,10,492,1.1394977168949785
62,buffer,10,1009,1.1394977168949785
62,buffer,10,1536,1.1394977168949785
62,buffer,10,1748,1.1394977168949785
62,buffer,11,1221,1.1394977168949785
62,buffer,11,1222,1.1394977168949785
62,buffer,11,1363,1.1394977168949785
62,buffer,12,186,1.1394977168949785
62,buffer,12,2107,1.1394977168949785
62,buffer,13,1612,1.1394977168949785
62,buffer,14,1531,1.1394977168949785
62,buffer,14,1533,1.1394977168949785
62,buffer,14,1549,1.1394977168949785
62,buffer,16,421,1.1394977168949785
62,buffer,19,568,1.1394977168949785
62,buffer,20,296,1.1394977168949785
62,buffer,21,131,1.1394977168949785
62,buffer,21,136,1.1394977168949785
62,buffer,21,1000,1.1394977168949785
62,buffer,21,1290,1.1394977168949785
62,buffer,21,1292,1.1394977168949785
62,buffer,21,1293,1.1394977168949785
62,buffer,21,1298,1.1394977168949785
62,buffer,21,1308,1.1394977168949785
62,buffer,21,1615,1.1394977168949785
62,buffer,21,1641,1.1394977168949785
62,buffer,21,1642,1.1394977168949785
62,buffer,22,1970,1.1394977168949785
62,buffer,24,188,1.1394977168949785
62,buffer,24,492,1.1394977168949785
62,buffer,24,518,1.1394977168949785
62,buffer,24,1135,1.1394977168949785
62,buffer,24,1241,1.1394977168949785
62,buffer,26,153,1.1394977168949785
62,buffer,26,867,1.1394977168949785
62,buffer,26,2340,1.1394977168949785
62,buffer,28,595,1.1394977168949785
62,buffer,30,543,1.1394977168949785
62,buffer,30,1208,1.1394977168949785
62,buffer,30,1961,1.1394977168949785
62,buffer,30,2036,1.1394977168949785
62,buffer,30,2087,1.1394977168949785
62,buffer,30,2090,1.1394977168949785
62,buffer,32,1610,1.1394977168949785
62,buffer,32,2361,1.1394977168949785
63,buffer,1,1042,1.1578767123287683
63,buffer,1,1711,1.1578767123287683
63,buffer,1,2048,1.1578767123287683
63,buffer,1,2190,1.1578767123287683
63,buffer,4,673,1.1578767123287683
63,buffer,4,1534,1.1578767123287683
63,buffer,4,1563,1.1578767123287683
63,buffer,4,2360,1.1578767123287683
63,buffer,4,2361,1.1578767123287683
63,buffer,7,836,1.1578767123287683
63,buffer,10,362,1.1578767123287683
63,buffer,10,624,1.1578767123287683
63,buffer,10,1746,1.1578767123287683
63,buffer,10,1747,1.1578767123287683
63,buffer,11,1220,1.1578767123287683
63,buffer,11,1360,1.1578767123287683
63,buffer,12,184,1.1578767123287683
63,buffer,14,1532,1.1578767123287683
63,buffer,15,546,1.1578767123287683
63,buffer,15,1832,1.1578767123287683
63,buffer,15,2194,1.1578767123287683
63,buffer,15,2195,1.1578767123287683
63,buffer,15,2196,1.1578767123287683
63,buffer,16,906,1.1578767123287683
63,buffer,19,561,1.1578767123287683
63,buffer,19,1337,1.1578767123287683
63,buffer,19,1447,1.1578767123287683
63,buffer,20,294,1.1578767123287683
63,buffer,20,295,1.1578767123287683
63,buffer,20,299,1.1578767123287683
63,buffer,21,139,1.1578767123287683
63,buffer,21,185,1.1578767123287683
63,buffer,21,453,1.1578767123287683
63,buffer,21,1314,1.1578767123287683
63,buffer,22,1251,1.1578767123287683
63,buffer,22,1299,1.1578767123287683
63,buffer,23,1975,1.1578767123287683
63,buffer,24,200,1.1578767123287683
63,buffer,24,1242,1.1578767123287683
63,buffer,26,155,1.1578767123287683
63,buffer,27,219,1.1578767123287683
63,buffer,29,2146,1.1578767123287683
63,buffer,30,1673,1.1578767123287683
63,buffer,30,1724,1.1578767123287683
63,buffer,30,2091,1.1578767123287683
63,buffer,31,355,1.1578767123287683
63,buffer,31,375,1.1578767123287683
63,buffer,31,2180,1.1578767123287683
63,buffer,32,1611,1.1578767123287683
63,buffer,32,2348,1.1578767123287683
63,buffer,32,2349,1.1578767123287683
63,buffer,32,2351,1.1578767123287683
63,buffer,32,2352,1.1578767123287683
63,buffer,32,2355,1.1578767123287683
63,buffer,32,2356,1.1578767123287683
63,buffer,32,2358,1.1578767123287683
64,buffer,1,776,1.1762557077625584
64,buffer,1,813,1.1762557077625584
64,buffer,1,2049,1.1762557077625584
64,buffer,4,131,1.1762557077625584
64,buffer,4,515,1.1762557077625584
64,buffer,4,1836,1.1762557077625584
64,buffer,4,2362,1.1762557077625584
64,buffer,7,837,1.1762557077625584
64,buffer,10,356,1.1762557077625584
64,buffer,10,1099,1.1762557077625584
64,buffer,10,1186,1.1762557077625584
64,buffer,10,1196,1.1762557077625584
64,buffer,11,1021,1.1762557077625584
64,buffer,12,2108,1.1762557077625584
64,buffer,12,2159,1.1762557077625584
64,buffer,12,2208,1.1762557077625584
64,buffer,14,241,1.1762557077625584
64,buffer,15,1154,1.1762557077625584
64,buffer,15,1824,1.1762557077625584
64,buffer,15,2143,1.1762557077625584
64,buffer,16,1168,1.1762557077625584
64,buffer,16,2380,1.1762557077625584
64,buffer,19,570,1.1762557077625584
64,buffer,19,1338,1.1762557077625584
64,buffer,19,1339,1.1762557077625584
64,buffer,19,1844,1.1762557077625584
64,buffer,20,292,1.1762557077625584
64,buffer,20,293,1.1762557077625584
64,buffer,21,82,1.1762557077625584
64,buffer,21,181,1.1762557077625584
64,buffer,21,1623,1.1762557077625584
64,buffer,21,1639,1.1762557077625584
64,buffer,21,1772,1.1762557077625584
64,buffer,24,697,1.1762557077625584
64,buffer,24,1243,1.1762557077625584
64,buffer,24,1244,1.1762557077625584
64,buffer,24,1805,1.1762557077625584
64,buffer,26,1917,1.1762557077625584
64,buffer,27,214,1.1762557077625584
64,buffer,27,215,1.1762557077625584
64,buffer,27,216,1.1762557077625584
64,buffer,27,270,1.1762557077625584
64,buffer,27,275,1.1762557077625584
64,buffer,28,837,1.1762557077625584
64,buffer,30,727,1.1762557077625584
64,buffer,30,1180,1.1762557077625584
64,buffer,30,1209,1.1762557077625584
64,buffer,30,1210,1.1762557077625584
64,buffer,30,1957,1.1762557077625584
64,buffer,30,2092,1.1762557077625584
64,buffer,31,382,1.1762557077625584
64,buffer,31,739,1.1762557077625584
64,buffer,32,1609,1.1762557077625584
64,buffer,32,2163,1.1762557077625584
64,buffer,32,2208,1.1762557077625584
64,buffer,32,2350,1.1762557077625584
64,buffer,32,2354,1.1762557077625584
64,buffer,32,2357,1.1762557077625584
64,buffer,32,2362,1.1762557077625584
65,buffer,1,856,1.1946347031963482
65,buffer,1,1043,1.1946347031963482
65,buffer,1,1166,1.1946347031963482
65,buffer,1,1581,1.1946347031963482
65,buffer,1,2050,1.1946347031963482
65,buffer,3,606,1.1946347031963482
65,buffer,3,792,1.1946347031963482
65,buffer,4,1096,1.1946347031963482
65,buffer,4,1535,1.1946347031963482
65,buffer,4,1718,1.1946347031963482
65,buffer,7,649,1.1946347031963482
65,buffer,8,382,1.1946347031963482
65,buffer,10,1008,1.1946347031963482
65,buffer,10,1130,1.1946347031963482
65,buffer,10,1381,1.1946347031963482
65,buffer,12,185,1.1946347031963482
65,buffer,12,187,1.1946347031963482
65,buffer,12,2109,1.1946347031963482
65,buffer,12,2110,1.1946347031963482
65,buffer,12,2209,1.1946347031963482
65,buffer,13,1613,1.1946347031963482
65,buffer,13,1710,1.1946347031963482
65,buffer,14,646,1.1946347031963482
65,buffer,15,1810,1.1946347031963482
65,buffer,15,1862,1.1946347031963482
65,buffer,15,2190,1.1946347031963482
65,buffer,16,423,1.1946347031963482
65,buffer,16,907,1.1946347031963482
65,buffer,17,2086,1.1946347031963482
65,buffer,19,559,1.1946347031963482
65,buffer,19,1789,1.1946347031963482
65,buffer,20,290,1.1946347031963482
65,buffer,20,291,1.1946347031963482
65,buffer,21,130,1.1946347031963482
65,buffer,21,454,1.1946347031963482
65,buffer,21,1289,1.1946347031963482
65,buffer,21,1621,1.1946347031963482
65,buffer,21,1624,1.1946347031963482
65,buffer,21,1636,1.1946347031963482
65,buffer,21,1645,1.1946347031963482
